0	REL$/business/company/place_founded	Santa Fe	Dallas
1	REL$/people/person/place_lived	William Kienbusch	New York
1	REL$/music/artist/origin	Fabulous Thunderbirds	Texas
1	REL$/business/company/place_founded	Samantha	Maine
1	REL$/location/neighborhood/neighborhood_of	Fontvieille	Monaco
1	REL$/location/location/containedby	Weeks House	Waterbury
0	REL$/people/person/ethnicity	Richard Minear	American
1	REL$/business/person/company	David Cole	University of Michigan
0	REL$/location/hud_county_place/county	Branson	Bible Belt
1	REL$/people/deceased_person/place_of_death	Toni Cade Bambara	Philadelphia
1	REL$/business/company/place_founded	Westmark	Seattle
1	REL$/business/company/place_founded	Omega Protein Corporation	Hammond
0	REL$/film/film/written_by	Nancy Miller	Tom McLoughlin
0	REL$/book/author/works_written	Ned Rorem	Julie
1	REL$/business/company/place_founded	Echelon	Palo Alto
1	REL$/book/author/works_written	Martin Gottfried	Bob Fosse
1	REL$/organization/parent/child	Arco	Alyeska
0	REL$/location/us_county/hud_county_place	Mr. Carter	Long Island
1	REL$/film/film/directed_by	Mr. Destiny	James Orr
0	REL$/sports/sports_team/arena_stadium	Europeans	Valderrama
1	REL$/business/company/founders	HB Studio	Herbert Berghof
0	REL$/people/person/ethnicity	Dennis Law	Metro-Goldwyn-Mayer
0	REL$/location/hud_county_place/county	Clinic	Queens
1	REL$/location/neighborhood/neighborhood_of	Millbank	London
0	REL$/people/person/parents	Itzhak Perlman	Violin Concerto
0	REL$/people/person/nationality	Sydney Symphony Orchestra	Concert Hall
1	REL$/location/location/containedby	Senigallia	Marches
1	REL$/business/company/place_founded	Anthem	San Jose
0	REL$/people/person/ethnicity	Muslims	African-American
1	REL$/book/author/works_written	Carroll	Jabberwocky
1	REL$/business/company/place_founded	Valid	San Jose
0	REL$/location/us_county/hud_county_place	Carnell Lake	Coates
0	REL$/location/us_county/hud_county_place	West Genesee Central School District	Camillus
0	REL$/location/neighborhood/neighborhood_of	Civic Center	Brooklyn
1	REL$/location/location/containedby	Solingen	Ruhr
1	REL$/business/company/place_founded	Alkermes Inc.	Cambridge
0	REL$/film/film/written_by	Vivian	Michael
1	REL$/business/person/company	Ron Brown	Democratic Party
0	REL$/film/film/written_by	Lillian	Eric
0	REL$/people/person/place_of_birth	Solomons	Greenburgh
0	REL$/sports/sports_team_owner/teams_owned	VF Corporation	Lee
1	REL$/music/artist/origin	Delbert McClinton	Texas
1	REL$/location/location/containedby	Surabaya	East Java
1	REL$/location/location/containedby	Rumford	Maine
1	REL$/location/neighborhood/neighborhood_of	Van Cortlandt Village	Bronx
0	REL$/organization/parent/child	Hartmarx	Robert
1	REL$/book/author/works_written	Shirley Conran	Lace
0	REL$/sports/sports_team/arena_stadium	Commodores	Nashville
0	REL$/location/location/containedby	Dakotas	Olympic National Park
0	REL$/location/country/capital	Gordon Gekko	Wall Street
0	REL$/location/country/capital	Buffalo	Hamilton
1	REL$/location/location/containedby	Lausanne	Switzerland
1	REL$/organization/parent/child	Dominion	Midland
0	REL$/location/us_county/hud_county_place	Long Island Sound	Clinton
0	REL$/location/country/capital	Astros	Auburn
0	REL$/film/film/written_by	Josephine	Francis
0	REL$/location/hud_county_place/county	Zion	Utah
0	REL$/people/person/ethnicity	Norman Jewison	Universal Pictures
0	REL$/people/person/ethnicity	Frank Carroll	American
0	REL$/people/person/ethnicity	Philipsburg	Front Street
0	REL$/film/film/written_by	Stephen Harrigan	Marcus Cole
0	REL$/business/company/founders	Madison Avenue	Philip Johnson
0	REL$/location/us_county/hud_county_place	New England	Ernest Hebert
1	REL$/location/neighborhood/neighborhood_of	Sleepy Hollow	Plainfield
0	REL$/people/person/parents	William I	Prince
0	REL$/people/person/ethnicity	England	Earls Court
0	REL$/book/author/book_editions_published	Billy Vessels	Heisman Trophy
0	REL$/people/person/parents	New York	McCarthy
1	REL$/organization/parent/child	BellSouth	Communication Systems
0	REL$/location/hud_county_place/county	Transcaucasus	Soviet Union
0	REL$/location/us_county/hud_county_place	Bryn Mawr	Philadelphia
1	REL$/people/person/place_lived	Michael Henry	Kingston
0	REL$/book/book_edition/place_of_publication	Wedowee	Birmingham
0	REL$/influence/influence_node/influenced_by	Tony Trabert	Davis Cup
0	REL$/location/hud_county_place/county	Universal	Los Angeles
0	REL$/influence/influence_node/influenced_by	Al Ross	Navy
1	REL$/business/company/place_founded	Rorer	Fort Washington
1	REL$/business/person/company	Mary Allen	Royal Opera House
1	REL$/people/person/place_lived	Mr. Chamberlain	England
1	REL$/organization/parent/child	McCormick & Company	Schilling
0	REL$/people/person/place_lived	Muslims	Serbian
0	REL$/media_common/netflix_genre/titles	New York	Sacramento
0	REL$/music/artist/album	Pocahontas	Central Park
1	REL$/business/person/company	Rose Blumkin	Nebraska Furniture Mart
1	REL$/business/person/company	Keizo Obuchi	Liberal Democratic Party
0	REL$/business/person/company	Mandela	Bantu Holomisa
1	REL$/business/person/company	Alfred Lion	Blue Note Records
1	REL$/business/person/company	Haile Gerima	Howard University
1	REL$/business/person/company	Eleanor Baum	Cooper Union
1	REL$/business/person/company	Andrew O'Rourke	Westchester County
1	REL$/business/person/company	John Sykes	VH1
1	REL$/business/person/company	Rose Brown	Planned Parenthood
1	REL$/business/person/company	Peter Morton	Hard Rock Cafe
1	REL$/business/person/company	Mark Hollis	Publix
1	REL$/business/person/company	John Brooks Slaughter	Occidental College
1	REL$/business/person/company	Paul Klapper	Queens College
0	REL$/business/person/company	Michael Eisner	Fox
1	REL$/business/person/company	Gaylord Nelson	Earth Day
1	REL$/business/person/company	William E. Butler	Eaton
1	REL$/business/person/company	John J. McCloy	Council
1	REL$/business/person/company	Horst Schulze	Ritz-Carlton
1	REL$/business/person/company	H. Jones	Skidmore College
1	REL$/business/person/company	James Grant	Chicago
1	REL$/business/person/company	John B. Roberts	Busch Entertainment Corporation
1	REL$/business/person/company	Laurence Tribe	Harvard University
1	REL$/business/person/company	The Daily News	Columbia University Graduate School of Journalism
1	REL$/business/person/company	Mr. Brown	Ameritech
1	REL$/business/person/company	Bruce Crawford	Metropolitan
0	REL$/business/person/company	William Morris	Arts
1	REL$/business/person/company	Sid Grossman	Photo League
1	REL$/business/person/company	Roderick MacFarquhar	Harvard University
1	REL$/business/person/company	Walter Ulbricht	Communist Party
1	REL$/business/person/company	Willard Gaylin	Hastings Center
1	REL$/business/person/company	Woody Woodward	Seattle
0	REL$/business/person/company	Tables	Penelope Casas
1	REL$/business/person/company	Sarah Elbert	State University of New York
0	REL$/business/person/company	University of Puerto Rico	Independence Party
1	REL$/business/person/company	Malaysian	Institute of Southeast Asian Studies
1	REL$/business/person/company	Torrey	Islander
0	REL$/business/person/company	South Beach	Florida International University
1	REL$/business/person/company	Samantha Smith	National Security Council
1	REL$/business/person/company	John Chambers	Rutgers
0	REL$/business/person/company	Kelly Flinn	B-52
1	REL$/business/person/company	David G. Trager	Brooklyn Law School
0	REL$/business/person/company	musicians	Oberlin College
1	REL$/business/person/company	Marcia Meyers	Columbia University
1	REL$/business/person/company	Robert M. Kimmitt	State Department
1	REL$/business/person/company	Sal Bando	Brewers
1	REL$/business/person/company	Ray L. Hunt	Texas
0	REL$/business/person/company	Arthur Seyss-Inquart	Netherlands
1	REL$/business/person/company	Walter Williams	University of Washington
1	REL$/business/person/company	Russell W. Rumberger	University of California
1	REL$/business/person/company	Lowry Nelson	Yale University
1	REL$/business/person/company	Benny Andrews	Queens College
1	REL$/business/person/company	Jim Rutherford	Hartford
0	REL$/people/person/nationality	Caryn James	Paris
0	REL$/people/person/nationality	Syl Apps	Unionville
0	REL$/people/person/nationality	Battery	India
0	REL$/people/person/nationality	Raisin	Mockingbird
0	REL$/people/person/nationality	Darth Vader	Leia
0	REL$/people/person/nationality	W. Awdry	Methodist
0	REL$/people/person/nationality	Tigers	Bill Gullickson
0	REL$/people/person/nationality	Sam Torrance	Europe
0	REL$/people/person/nationality	God	Power
0	REL$/people/person/nationality	Tigers	Blue Jays
0	REL$/people/person/nationality	Bob Wickman	Travis Fryman
0	REL$/people/person/nationality	Waupun	Pennsylvania State University
0	REL$/people/person/nationality	Nicaraguan	Anastasio Somoza Debayle
0	REL$/people/person/nationality	Michael L. Williams	Education Department
0	REL$/people/person/nationality	Jim Rooney	Precinct
0	REL$/people/person/nationality	Lucifer	Satan
0	REL$/people/person/nationality	Torretta	Rhein Fire
0	REL$/people/person/nationality	Lake Michigan	National Guard Armory
0	REL$/people/person/nationality	Xerox	Fisher Scientific
0	REL$/people/person/nationality	Harvie Andre	House of Commons
0	REL$/people/person/nationality	Keane	Bill Berg
0	REL$/people/person/nationality	Reich	Joachim von Ribbentrop
0	REL$/people/person/nationality	Roman	Scotland
0	REL$/people/person/nationality	Yancey Thigpen	Pittsburgh
0	REL$/people/person/nationality	Kenneth	China
0	REL$/people/person/nationality	Commandments	Hebrews
0	REL$/people/person/nationality	Wolf	WCBS
0	REL$/people/person/nationality	French	Butare
0	REL$/people/person/nationality	La Salle	Loyola
0	REL$/people/person/nationality	Scarlet Knights	Wagner
0	REL$/people/person/nationality	Jackson	Bianchi
0	REL$/people/person/nationality	Hoosiers	Tar Heels
0	REL$/people/person/nationality	Russians	Brazil
0	REL$/people/person/nationality	Pittsburgh Pirates	Montreal Expos
0	REL$/people/person/nationality	Kimberly Po	Jennifer Capriati
0	REL$/people/person/nationality	Vance Johnson	Broncos
0	REL$/people/person/nationality	Blues	Edmonton
0	REL$/people/person/nationality	Martin	Anderson
0	REL$/people/person/nationality	Bobby Robson	Italy
0	REL$/people/person/nationality	Pedro	Mark Leiter
0	REL$/people/person/nationality	Phoenix Suns	Detroit
0	REL$/people/person/nationality	Spanish	France
0	REL$/people/person/nationality	Knights	John Adams
0	REL$/people/person/nationality	Lamar Alexander	Bob Dole
0	REL$/people/person/nationality	Jacco Eltingh	Christo Van Rensburg
0	REL$/people/person/nationality	Brooklyn College	College of Staten Island
0	REL$/people/person/nationality	Buffalo	Denver Broncos
0	REL$/people/person/nationality	Khalifman	Chandler
0	REL$/people/person/nationality	American	Nanking
0	REL$/people/person/nationality	Irwin	Frost
0	REL$/book/author/book_editions_published	F. A. Hayek	Nobel
0	REL$/location/us_county/hud_county_place	Paul Griffiths	Amistad
0	REL$/people/person/ethnicity	Jimmy Rodgers	Celtic
1	REL$/business/company/place_founded	Phoenix	Leeds
0	REL$/book/written_work/subjects	Bingham	Louisville
0	REL$/location/us_county/hud_county_place	Madrid	Salvador Dali
0	REL$/location/hud_county_place/county	Warehouse	Farmingdale
0	REL$/people/person/ethnicity	Johann Gottfried Herder	German
1	REL$/people/person/place_lived	Michael Clark	Washington
0	REL$/film/film/written_by	Paula	Joseph
0	REL$/location/country/administrative_divisions	Psion	Milton
0	REL$/location/country/administrative_divisions	ABC	Grand Rapids
0	REL$/location/us_county/hud_county_place	Rockland County	Monsey
0	REL$/location/country/capital	Andre	Young
0	REL$/location/country/capital	Roxanne	Cyrano de Bergerac
0	REL$/music/artist/album	Rolling Stones	Shea Stadium
0	REL$/location/hud_county_place/county	Smiths	Washington
1	REL$/people/person/place_lived	George Oros	Cortlandt
0	REL$/sports/sports_team_owner/teams_owned	Lee Friedman	Melrose
0	REL$/media_common/netflix_genre/titles	Venice	Wagner
1	REL$/location/location/containedby	University of Cincinnati	Cincinnati
0	REL$/people/person/ethnicity	Rwanda	American
0	REL$/business/company/place_founded	Albanians	Prizren
0	REL$/people/person/parents	Middletown	Watts
0	REL$/film/film/written_by	Super	Joe Pesci
0	REL$/book/author/works_written	Disney	Kundun
0	REL$/location/us_county/hud_county_place	Block Island	Newport
0	REL$/book/book_edition/place_of_publication	Lawrence Livermore National Laboratory	San Francisco
0	REL$/book/book_edition/place_of_publication	Chavez	Mexico City
1	REL$/location/location/containedby	Melilla	Morocco
0	REL$/people/person/place_lived	Sidney	Bronx
0	REL$/book/written_work/subjects	Karaoke	Asia
1	REL$/people/person/place_lived	Mr. Mason	Manhattan
0	REL$/sports/sports_team/arena_stadium	Mayor	Brooklyn
0	REL$/location/neighborhood/neighborhood_of	Toronto	Canada
0	REL$/music/artist/album	San Diego	Mexico
0	REL$/people/person/place_lived	Garden	New York Knicks
0	REL$/people/person/parents	Mark Halperin	ABC News
0	REL$/people/deceased_person/place_of_death	William C. Thompson	Brooklyn
0	REL$/people/person/nationality	David	Berkeley
0	REL$/people/deceased_person/place_of_death	Mr. Brown	Jamaica
1	REL$/business/company/place_founded	Hambrecht & Quist	San Francisco
1	REL$/sports/sports_team/arena_stadium	Rams	Anaheim
0	REL$/location/country/administrative_divisions	Richard Taruskin	Stravinsky
1	REL$/organization/parent/child	Advance Publications	New Yorker
1	REL$/film/film/produced_by	Titanic	James Cameron
0	REL$/people/person/place_lived	Union County	Elizabeth
0	REL$/influence/influence_node/influenced_by	Dolan	Cleveland
0	REL$/sports/sports_team/arena_stadium	Montreal	Madison Square Garden
1	REL$/business/person/company	Robert J. Shapiro	Progressive Policy Institute
0	REL$/media_common/netflix_genre/titles	Jack	Joseph
0	REL$/location/country/administrative_divisions	William Doyle	Manhattan
0	REL$/book/book_edition/place_of_publication	Washington	Salt Lake City
0	REL$/film/film/directed_by	Spira	Bronx
0	REL$/music/artist/origin	Ford Motor Company	German
1	REL$/location/neighborhood/neighborhood_of	Washington Heights	Manhattan
0	REL$/location/neighborhood/neighborhood_of	Kyoto	Japan
1	REL$/business/company/place_founded	Monsanto	St. Louis
0	REL$/people/person/place_of_birth	Mattingly	Evansville
0	REL$/location/country/capital	Florida Panthers	Miami
1	REL$/business/company/place_founded	Maxtor	San Jose
1	REL$/business/person/company	Robert Hormats	Goldman
1	REL$/business/company/place_founded	Pacific Telesis	San Francisco
1	REL$/location/location/containedby	Tuzla	Bosnia
1	REL$/people/person/nationality	Yitzhak Rabin	Israel
1	REL$/organization/parent/child	News Corporation	HarperCollins
1	REL$/film/film/directed_by	Titanic	James Cameron
1	REL$/organization/parent/child	Sears	Dean Witter
0	REL$/sports/sports_team/arena_stadium	Quebec Nordiques	Madison Square Garden
0	REL$/sports/sports_team_owner/teams_owned	Tribune Company	Chicago Tribune
1	REL$/sports/sports_team_owner/teams_owned	Pat Bowlen	Denver Broncos
1	REL$/location/location/containedby	Scarsdale	Westchester County
1	REL$/sports/sports_team_owner/teams_owned	Cooke	Redskins
1	REL$/people/deceased_person/place_of_death	Marguerite Duras	Paris
0	REL$/sports/sports_team/arena_stadium	University of Connecticut	Storrs
0	REL$/sports/sports_team_owner/teams_owned	Frank Lorenzo	Eastern
1	REL$/location/neighborhood/neighborhood_of	Williamsburg	Brooklyn
1	REL$/business/company/place_founded	Investcorp	Bahrain
0	REL$/business/company/place_founded	American International Group	New York
1	REL$/location/neighborhood/neighborhood_of	Liberty City	Miami
1	REL$/business/company/place_founded	First Interstate Bancorp	Los Angeles
1	REL$/location/location/containedby	Peshawar	Pakistan
1	REL$/business/company/place_founded	Qualcomm	San Diego
1	REL$/sports/sports_team/arena_stadium	Philadelphia	Spectrum
1	REL$/people/person/nationality	Lee Kuan Yew	Singapore
1	REL$/business/company/place_founded	Norwest	Minneapolis
1	REL$/location/location/containedby	Goma	Zaire
1	REL$/sports/sports_team_owner/teams_owned	Peter Angelos	Baltimore Orioles
0	REL$/location/hud_county_place/county	Istanbul	Europe
1	REL$/location/neighborhood/neighborhood_of	Watts	Los Angeles
1	REL$/business/company/place_founded	Netscape	Mountain View
1	REL$/location/neighborhood/neighborhood_of	Windsor Terrace	Brooklyn
1	REL$/location/neighborhood/neighborhood_of	Sunset Park	Brooklyn
1	REL$/location/neighborhood/neighborhood_of	Roxbury	Boston
1	REL$/people/deceased_person/place_of_death	Angus Wilson	Bury St. Edmunds
1	REL$/book/author/works_written	Kitty Kelley	Nancy Reagan
1	REL$/sports/sports_team/arena_stadium	Philadelphia Flyers	Spectrum
1	REL$/sports/sports_team/arena_stadium	Rutgers	Giants Stadium
1	REL$/location/hud_county_place/county	Newark	Essex County
1	REL$/location/neighborhood/neighborhood_of	TriBeCa	Manhattan
1	REL$/business/person/company	Leon Black	Drexel Burnham Lambert
1	REL$/location/neighborhood/neighborhood_of	Overtown	Miami
1	REL$/location/neighborhood/neighborhood_of	SoHo	Manhattan
1	REL$/location/location/containedby	San Jose	Silicon Valley
1	REL$/business/company/place_founded	Network Solutions	Herndon
1	REL$/business/company/place_founded	American	Norwich
1	REL$/location/location/containedby	Mostar	Herzegovina
1	REL$/location/neighborhood/neighborhood_of	Little Havana	Miami
0	REL$/business/company/place_founded	Wells Fargo	California
1	REL$/sports/sports_team/arena_stadium	Dartmouth	Hanover
0	REL$/sports/sports_team_owner/teams_owned	Bob Lewis	Silver Charm
1	REL$/business/company/place_founded	Levi Strauss	San Francisco
1	REL$/business/company/place_founded	Gibson	Cincinnati
1	REL$/organization/parent/child	Volkswagen	Rolls-Royce Motor Cars
0	REL$/business/company/place_founded	Continental	New York
0	REL$/sports/sports_team/arena_stadium	Seattle	Madison Square Garden
1	REL$/location/neighborhood/neighborhood_of	Yorkville	Manhattan
1	REL$/sports/sports_team/arena_stadium	Indiana Pacers	Market Square Arena
1	REL$/location/location/containedby	Zakho	Iraq
1	REL$/location/neighborhood/neighborhood_of	San Pedro	Los Angeles
1	REL$/organization/parent/child	Port Authority	Vista
0	REL$/media_common/netflix_genre/titles	Ted Koppel	Nightline
0	REL$/sports/sports_team_owner/teams_owned	Bruce Goldstein	Central Falls
1	REL$/people/person/nationality	Menachem Begin	Israel
0	REL$/sports/sports_team/arena_stadium	Tampa Bay	Giants Stadium
1	REL$/business/company/place_founded	Kemper	Long Grove
1	REL$/business/person/company	Jay Schulberg	Bozell Worldwide
1	REL$/business/company/place_founded	Mead	Dayton
1	REL$/location/location/containedby	Monterrey	Mexico
1	REL$/location/neighborhood/neighborhood_of	Westville	New Haven
0	REL$/sports/sports_team_owner/teams_owned	Omnicom Group	BBDO
0	REL$/sports/sports_team/arena_stadium	Vancouver Canucks	Madison Square Garden
1	REL$/location/location/containedby	Lagos	Nigeria
1	REL$/people/person/nationality	Roland Dumas	France
1	REL$/people/person/nationality	Paul Martin	Canada
1	REL$/people/person/nationality	Yevgeny Primakov	Russia
1	REL$/people/person/nationality	Moshe Arens	Israel
1	REL$/people/person/nationality	Neal Blewett	Australia
1	REL$/people/person/nationality	Kiichi Miyazawa	Japan
0	REL$/people/person/nationality	Robert Malval	Aristide
1	REL$/people/person/nationality	Necmettin Erbakan	Turkey
1	REL$/people/person/nationality	Yohei Kono	Japan
1	REL$/people/person/nationality	Vitaly I. Churkin	Russia
1	REL$/people/person/nationality	Philippe Maystadt	Belgium
1	REL$/people/person/nationality	Tadeusz Mazowiecki	Poland
1	REL$/people/person/nationality	Qian Qichen	China
1	REL$/people/person/nationality	Renato Ruggiero	Italy
1	REL$/people/person/nationality	Taro Nakayama	Japan
1	REL$/people/person/nationality	Mariano Rajoy	Spain
1	REL$/people/person/nationality	Jaime Serra Puche	Mexico
1	REL$/people/person/nationality	Michael Wilson	Canada
1	REL$/people/person/nationality	Wu Yi	China
0	REL$/people/person/nationality	Daniel Johnson	Quebec
1	REL$/people/person/nationality	Peter Brooke	Britain
1	REL$/people/person/nationality	Sartaj Aziz	Pakistan
1	REL$/people/person/nationality	Pierre Joxe	France
1	REL$/people/person/nationality	Shimon Peres	Israel
1	REL$/people/person/nationality	Leszek Balcerowicz	Poland
1	REL$/people/person/nationality	Piotr Jaroszewicz	Poland
1	REL$/people/person/nationality	Nawaz Sharif	Pakistan
1	REL$/people/person/nationality	Yossi Sarid	Israel
1	REL$/people/person/nationality	Chris Smith	Britain
1	REL$/people/person/nationality	Mehdi Bazargan	Iran
1	REL$/people/person/nationality	Michio Watanabe	Japan
1	REL$/people/person/nationality	Tsutomu Hata	Japan
1	REL$/people/person/nationality	Zhou Nan	China
1	REL$/people/person/nationality	Pierre Mauroy	France
1	REL$/people/person/nationality	Viktor Chernomyrdin	Russia
1	REL$/people/person/nationality	V. P. Singh	India
1	REL$/people/person/nationality	Sahabzada Yaqub Khan	Pakistan
1	REL$/people/person/nationality	Boutros Ghali	Egypt
1	REL$/people/person/nationality	Yegor Gaidar	Russia
1	REL$/people/person/nationality	Richard Alston	Australia
1	REL$/people/person/nationality	Klaus Kinkel	Germany
1	REL$/people/person/nationality	Kwik Kian Gie	Indonesia
1	REL$/people/person/nationality	Mark Vaile	Australia
0	REL$/people/person/nationality	Sharad Pawar	Maharashtra
1	REL$/people/person/nationality	Takeshi Noda	Japan
1	REL$/people/person/nationality	Martin Bartenstein	Austria
1	REL$/people/person/nationality	Yeo Ning Hong	Singapore
1	REL$/people/person/nationality	Morihiro Hosokawa	Japan
1	REL$/people/person/nationality	Mark Eyskens	Belgium
1	REL$/people/person/nationality	Khaleda Zia	Bangladesh
1	REL$/people/person/nationality	Louis Tobback	Belgium
1	REL$/people/person/nationality	Theodoros Pangalos	Greece
1	REL$/people/person/nationality	Ryutaro Hashimoto	Japan
1	REL$/people/person/nationality	Yang Jiechi	China
0	REL$/people/person/nationality	Mulayam Singh Yadav	Uttar Pradesh
1	REL$/people/person/nationality	Sheila Copps	Canada
1	REL$/people/person/nationality	Uffe Ellemann-Jensen	Denmark
1	REL$/people/person/nationality	Manto Tshabalala-Msimang	South Africa
1	REL$/people/person/nationality	Malik Meraj Khalid	Pakistan
1	REL$/people/person/nationality	Kim Campbell	Canada
1	REL$/people/person/nationality	Rudolf Scharping	Germany
1	REL$/people/person/nationality	Rudolf Seiters	Germany
1	REL$/people/person/nationality	Takashi Kosugi	Japan
1	REL$/people/person/nationality	Tarja Halonen	Finland
1	REL$/people/person/nationality	Roberto Robaina	Cuba
1	REL$/people/person/nationality	Vladimir Putin	Russia
0	REL$/people/person/nationality	David Trimble	Assembly
1	REL$/people/person/nationality	Helmut Haussmann	Germany
1	REL$/people/person/nationality	Roberto Smith	Venezuela
1	REL$/people/person/nationality	Georgs Andrejevs	Latvia
0	REL$/people/person/nationality	Nicolas Fouquet	Louis XIV
1	REL$/people/person/nationality	Robert Malval	Haiti
1	REL$/people/person/nationality	Mackenzie King	Canada
0	REL$/people/person/nationality	Peter Radunski	Berlin
0	REL$/people/person/nationality	Frans Andriessen	External Affairs
1	REL$/people/person/nationality	Thomas Jefferson	Cayman Islands
0	REL$/people/person/nationality	Ian Waddell	British Columbia
0	REL$/people/person/nationality	Corinne Lepage	Environment
1	REL$/people/person/nationality	Takenori Kanzaki	Japan
